Source;Target;Weight
1;61;0.736882
1;62;0.911955
1;63;0.659624
1;64;0.005408
1;65;0.037293
1;66;0.181108
1;67;0.579518
1;68;0.910924
1;69;0.858911
1;70;0.433231
1;71;0.231011
1;72;0.641920
1;73;0.064697
1;74;0.316697
1;75;0.515769
1;76;0.424937
1;77;0.477260
1;78;0.495305
1;79;0.733207
1;80;0.148292
1;81;0.117242
2;0;0.298139
2;1;0.154097
2;2;0.000000
2;3;0.470205
2;4;0.229345
2;5;0.457309
2;6;0.294557
2;7;0.943361
2;8;0.395856
2;9;0.890366
2;10;0.390296
2;11;0.894658
2;12;0.761294
2;13;0.689748
2;14;0.932875
2;15;0.661249
2;16;0.692215
2;17;0.432828
2;18;0.996602
2;19;0.893821
2;20;0.309268
2;21;0.529699
2;22;0.897385
2;23;0.284192
2;24;0.626083
2;25;0.578064
2;26;0.414090
2;27;0.580007
2;28;0.896160
2;29;0.983010
2;30;0.389760
2;31;0.232816
2;32;0.247974
2;33;0.259358
2;34;0.723621
2;35;0.945208
2;36;0.984387
2;37;0.994493
2;38;0.391153
2;39;0.618107
2;40;0.925939
2;41;0.858869
2;42;0.502269
2;43;0.928294
2;44;0.509399
2;45;0.593771
2;46;0.662497
2;47;0.335083
2;48;0.971583
2;49;0.925322
2;50;0.572174
2;51;0.962187
2;52;0.141761
2;53;0.609231
2;54;0.260559
2;55;0.420434
2;56;0.832338
2;57;0.746572
2;58;0.173160
2;59;0.515914
2;60;0.692800
2;61;0.779249
2;62;0.924524
2;63;0.674890
2;64;0.163423
2;65;0.170927
2;66;0.267628
2;67;0.635308
2;68;0.909888
2;69;0.881883
2;70;0.467458
2;71;0.351221
2;72;0.660161
2;73;0.200491
2;74;0.406483
2;75;0.535395
2;76;0.486719
2;77;0.564177
2;78;0.579366
2;79;0.613099
2;80;0.203828
2;81;0.286984
3;0;0.492915
3;1;0.440136
3;2;0.470205
3;3;0.000000
3;4;0.463224
3;5;0.362257
3;6;0.503658
3;7;0.967753
3;8;0.448007
3;9;0.959211
3;10;0.531539
3;11;0.962232
3;12;0.502943
3;13;0.400276
3;14;0.973375
3;15;0.322136
3;16;0.616562
3;17;0.434055
3;18;0.988791
3;19;0.960184
3;20;0.242057
3;21;0.541560
3;22;0.973642
3;23;0.488659
3;24;0.250575
3;25;0.384918
3;26;0.509402
3;27;0.556388
3;28;0.922786
3;29;0.963575
3;30;0.589016
3;31;0.584346
3;32;0.322802
3;33;0.412022
3;34;0.762929
3;35;0.948519
3;36;0.981990
3;37;0.983345
3;38;0.526978
3;39;0.279030
3;40;0.961167
3;41;0.874033
3;42;0.405466
3;43;0.963147
3;44;0.274098
3;45;0.301384
3;46;0.704516
3;47;0.518994
3;48;0.935089
3;49;0.970778
3;50;0.269148
3;51;0.973468
3;52;0.371709
3;53;0.439966
3;54;0.501648
3;55;0.106229
3;56;0.626539
3;57;0.587874
3;58;0.557662
3;59;0.334996
3;60;0.563090
3;61;0.535063
3;62;0.976840
3;63;0.350544
3;64;0.407769
3;65;0.337716
3;66;0.345463
3;67;0.550048
3;68;0.955517
3;69;0.672279
3;70;0.638118
3;71;0.577507
3;72;0.687176
3;73;0.490215
3;74;0.420606
3;75;0.625329
3;76;0.244823
3;77;0.685407
3;78;0.313624
3;79;0.429427
3;80;0.528028
3;81;0.484693
4;0;0.295648
4;1;0.093650
4;2;0.229345
4;3;0.463224
4;4;0.000000
4;5;0.309706
4;6;0.150823
4;7;0.919570
4;8;0.403263
4;9;0.844181
4;10;0.401906
4;11;0.852731
4;12;0.485326
4;13;0.654809
4;14;0.935417
4;15;0.617271
4;16;0.827251
4;17;0.186946
4;18;0.996035
4;19;0.902009
4;20;0.338968
4;21;0.388351
4;22;0.869716
4;23;0.152719
4;24;0.641627
4;25;0.396053
4;26;0.231723
4;27;0.246833
4;28;0.914578
4;29;0.940491
4;30;0.238717
4;31;0.097514
4;32;0.187007
4;33;0.031979
4;34;0.600789
4;35;0.906719
4;36;0.982002
4;37;0.993731
4;38;0.085740
4;39;0.551257
4;40;0.924260
4;41;0.767459
4;42;0.653251
4;43;0.918384
4;44;0.428501
4;45;0.700339
4;46;0.620553
4;47;0.096394
4;48;0.968197
4;49;0.909040
4;50;0.594124
4;51;0.963743
4;52;0.126896
4;53;0.698473
4;54;0.177130
4;55;0.427962
