class labels,features,ngrams,num_comp,classifier,measure,value
google,numoc,bi,all,Random Forest,Recall,0.4761904762
google,numoc,bi,all,Random Forest,Score,0.4761904762
google,numoc,tri,all,AdaBoost,Fscore,0.3072196621
google,numoc,tri,all,AdaBoost,Precision,0.2267573696
google,numoc,tri,all,AdaBoost,Recall,0.4761904762
google,numoc,tri,all,AdaBoost,Score,0.4761904762
google,numoc,tri,all,Decision Tree,Fscore,0.3072196621
google,numoc,tri,all,Decision Tree,Precision,0.2267573696
google,numoc,tri,all,Decision Tree,Recall,0.4761904762
google,numoc,tri,all,Decision Tree,Score,0.4761904762
google,numoc,tri,all,Dummy,Fscore,0.3072196621
google,numoc,tri,all,Dummy,Precision,0.2267573696
google,numoc,tri,all,Dummy,Recall,0.4761904762
google,numoc,tri,all,Dummy,Score,0.4761904762
google,numoc,tri,all,Linear SVM,Fscore,0.3072196621
google,numoc,tri,all,Linear SVM,Precision,0.2267573696
google,numoc,tri,all,Linear SVM,Recall,0.4761904762
google,numoc,tri,all,Linear SVM,Score,0.4761904762
google,numoc,tri,all,Logistic Regression,Fscore,0.3072196621
google,numoc,tri,all,Logistic Regression,Precision,0.2267573696
google,numoc,tri,all,Logistic Regression,Recall,0.4761904762
google,numoc,tri,all,Logistic Regression,Score,0.4761904762
google,numoc,tri,all,Naive Bayes,Fscore,0.0001249844
google,numoc,tri,all,Naive Bayes,Precision,6.29881582262535E-05
google,numoc,tri,all,Naive Bayes,Recall,0.0079365079
google,numoc,tri,all,Naive Bayes,Score,0.0079365079
google,numoc,tri,all,Nearest Neighbors,Fscore,0.3072196621
google,numoc,tri,all,Nearest Neighbors,Precision,0.2267573696
google,numoc,tri,all,Nearest Neighbors,Recall,0.4761904762
google,numoc,tri,all,Nearest Neighbors,Score,0.4761904762
google,numoc,tri,all,Neural Net,Fscore,0.3072196621
google,numoc,tri,all,Neural Net,Precision,0.2267573696
google,numoc,tri,all,Neural Net,Recall,0.4761904762
google,numoc,tri,all,Neural Net,Score,0.4761904762
google,numoc,tri,all,RBF SVM,Fscore,0.3072196621
google,numoc,tri,all,RBF SVM,Precision,0.2267573696
google,numoc,tri,all,RBF SVM,Recall,0.4761904762
google,numoc,tri,all,RBF SVM,Score,0.4761904762
google,numoc,tri,all,Random Forest,Fscore,0.3072196621
google,numoc,tri,all,Random Forest,Precision,0.2267573696
google,numoc,tri,all,Random Forest,Recall,0.4761904762
google,numoc,tri,all,Random Forest,Score,0.4761904762
google,numoc,uni,all,AdaBoost,Fscore,0.3304497354
google,numoc,uni,all,AdaBoost,Precision,0.3138990639
google,numoc,uni,all,AdaBoost,Recall,0.3492063492
google,numoc,uni,all,AdaBoost,Score,0.3492063492
google,numoc,uni,all,Decision Tree,Fscore,0.2651502755
google,numoc,uni,all,Decision Tree,Precision,0.3186877354
google,numoc,uni,all,Decision Tree,Recall,0.2380952381
google,numoc,uni,all,Decision Tree,Score,0.2380952381
google,numoc,uni,all,Dummy,Fscore,0.3072196621
google,numoc,uni,all,Dummy,Precision,0.2267573696
google,numoc,uni,all,Dummy,Recall,0.4761904762
google,numoc,uni,all,Dummy,Score,0.4761904762
google,numoc,uni,all,Linear SVM,Fscore,0.3093621517
google,numoc,uni,all,Linear SVM,Precision,0.2614000278
google,numoc,uni,all,Linear SVM,Recall,0.4365079365
google,numoc,uni,all,Linear SVM,Score,0.4365079365
google,numoc,uni,all,Logistic Regression,Fscore,0.3742495053
google,numoc,uni,all,Logistic Regression,Precision,0.3387799564
google,numoc,uni,all,Logistic Regression,Recall,0.4285714286
google,numoc,uni,all,Logistic Regression,Score,0.4285714286
google,numoc,uni,all,Naive Bayes,Fscore,0.3072196621
google,numoc,uni,all,Naive Bayes,Precision,0.2267573696
google,numoc,uni,all,Naive Bayes,Recall,0.4761904762
google,numoc,uni,all,Naive Bayes,Score,0.4761904762
google,numoc,uni,all,Nearest Neighbors,Fscore,0.2851458886
google,numoc,uni,all,Nearest Neighbors,Precision,0.2445652174
google,numoc,uni,all,Nearest Neighbors,Recall,0.3571428571
google,numoc,uni,all,Nearest Neighbors,Score,0.3571428571
google,numoc,uni,all,Neural Net,Fscore,0.3496472663
google,numoc,uni,all,Neural Net,Precision,0.3097689526
google,numoc,uni,all,Neural Net,Recall,0.4047619048
google,numoc,uni,all,Neural Net,Score,0.4047619048
google,numoc,uni,all,RBF SVM,Fscore,0.3072196621
google,numoc,uni,all,RBF SVM,Precision,0.2267573696
google,numoc,uni,all,RBF SVM,Recall,0.4761904762
google,numoc,uni,all,RBF SVM,Score,0.4761904762
google,numoc,uni,all,Random Forest,Fscore,0.2982731554
google,numoc,uni,all,Random Forest,Precision,0.2224824356
google,numoc,uni,all,Random Forest,Recall,0.4523809524
google,numoc,uni,all,Random Forest,Score,0.4523809524
google,tfidf,all,10,AdaBoost,Fscore,0.4042183083
google,tfidf,all,10,AdaBoost,Precision,0.3795078525
google,tfidf,all,10,AdaBoost,Recall,0.4365079365
google,tfidf,all,10,AdaBoost,Score,0.4365079365
google,tfidf,all,10,Decision Tree,Fscore,0.3941174537
google,tfidf,all,10,Decision Tree,Precision,0.3972809554
google,tfidf,all,10,Decision Tree,Recall,0.3968253968
google,tfidf,all,10,Decision Tree,Score,0.3968253968
google,tfidf,all,10,Dummy,Fscore,0.3511177595
google,tfidf,all,10,Dummy,Precision,0.2661249685
google,tfidf,all,10,Dummy,Recall,0.5158730159
google,tfidf,all,10,Dummy,Score,0.5158730159
google,tfidf,all,10,Linear SVM,Fscore,0.34025667
google,tfidf,all,10,Linear SVM,Precision,0.2600335527
google,tfidf,all,10,Linear SVM,Recall,0.4920634921
google,tfidf,all,10,Linear SVM,Score,0.4920634921
google,tfidf,all,10,Logistic Regression,Fscore,0.392574657
google,tfidf,all,10,Logistic Regression,Precision,0.3882038927
google,tfidf,all,10,Logistic Regression,Recall,0.4920634921
google,tfidf,all,10,Logistic Regression,Score,0.4920634921
google,tfidf,all,10,Naive Bayes,Fscore,0.1413610779
google,tfidf,all,10,Naive Bayes,Precision,0.3113717709
google,tfidf,all,10,Naive Bayes,Recall,0.1031746032
google,tfidf,all,10,Naive Bayes,Score,0.1031746032
google,tfidf,all,10,Nearest Neighbors,Fscore,0.4759632616
google,tfidf,all,10,Nearest Neighbors,Precision,0.5083194096
google,tfidf,all,10,Nearest Neighbors,Recall,0.5317460317
google,tfidf,all,10,Nearest Neighbors,Score,0.5317460317
google,tfidf,all,10,Neural Net,Fscore,0.380543068
google,tfidf,all,10,Neural Net,Precision,0.3510755654
google,tfidf,all,10,Neural Net,Recall,0.4841269841
google,tfidf,all,10,Neural Net,Score,0.4841269841
google,tfidf,all,10,RBF SVM,Fscore,0.421796276
google,tfidf,all,10,RBF SVM,Precision,0.4004076878
google,tfidf,all,10,RBF SVM,Recall,0.5
google,tfidf,all,10,RBF SVM,Score,0.5
google,tfidf,all,10,Random Forest,Fscore,0.3516812675
google,tfidf,all,10,Random Forest,Precision,0.3053922134
google,tfidf,all,10,Random Forest,Recall,0.4841269841
google,tfidf,all,10,Random Forest,Score,0.4841269841
