class labels,features,ngrams,num_comp,classifier,measure,value
my,tfidf,uni,300,Decision Tree,Score,0.3571428571
my,numoc,bi,all,Dummy,Recall,0.0317460317
my,tfidf,uni,100,Dummy,Score,0.0476190476
google,tfidf,all,10,Linear SVM,Score,0.4920634921
google,tfidf,uni,400,Dummy,Precision,0.2661249685
google,tfidf,tri,100,Linear SVM,Precision,0.3479105928
google,tfidf,bi,200,Nearest Neighbors,Recall,0.4841269841
google,tfidf,all,100,Nearest Neighbors,Precision,0.3703042328
google,justc,bi,all,Dummy,Precision,0.2267573696
google,tfidf,tri,100,Neural Net,Recall,0.3968253968
google,tfidf,all,300,RBF SVM,Recall,0.5158730159
my,numoc,uni,all,Nearest Neighbors,Fscore,0.3283255044
my,tfidf,all,100,Logistic Regression,Recall,0.4523809524
my,tfidf,tri,300,RBF SVM,Fscore,0.0808080808
google,tfidf,all,400,Logistic Regression,Recall,0.4841269841
google,tfidf,bi,10,Neural Net,Fscore,0.4352039666
google,numoc,bi,all,AdaBoost,Recall,0.4761904762
my,tfidf,all,400,Nearest Neighbors,Recall,0.4523809524
my,tfidf,all,200,Logistic Regression,Fscore,0.4565754566
my,tfidf,tri,300,Random Forest,Score,0.3253968254
google,tfidf,all,300,Nearest Neighbors,Fscore,0.3825340927
google,tfidf,all,200,Logistic Regression,Score,0.4047619048
google,tfidf,all,400,Nearest Neighbors,Fscore,0.4616824747
my,tfidf,quad,10,Logistic Regression,Fscore,0.3561014362
my,tfidf,tri,200,Nearest Neighbors,Precision,0.4299809019
my,numoc,uni,all,Naive Bayes,Score,0.0873015873
my,tfidf,all,300,Nearest Neighbors,Precision,0.4140481589
google,tfidf,tri,10,Linear SVM,Score,0.5079365079
google,tfidf,bi,300,Decision Tree,Precision,0.3055419189
my,numoc,tri,all,Logistic Regression,Fscore,0.1146825397
my,tfidf,bi,200,Decision Tree,Recall,0.3333333333
my,tfidf,bi,10,Linear SVM,Fscore,0.1886428707
google,tfidf,uni,300,Naive Bayes,Fscore,0.1248495242
google,tfidf,all,10,Logistic Regression,Score,0.4920634921
my,tfidf,quad,10,Naive Bayes,Recall,0.2380952381
my,tfidf,tri,300,RBF SVM,Score,0.2222222222
google,tfidf,uni,10,Logistic Regression,Recall,0.4841269841
google,tfidf,uni,200,Decision Tree,Recall,0.4444444444
google,tfidf,bi,300,AdaBoost,Precision,0.3507326007
my,tfidf,all,10,Logistic Regression,Score,0.4126984127
my,numoc,uni,all,RBF SVM,Score,0.2698412698
google,numoc,tri,all,Neural Net,Score,0.4761904762
google,tfidf,bi,400,Decision Tree,Fscore,0.3774035359
my,tfidf,uni,300,Nearest Neighbors,Precision,0.4121544857
my,tfidf,bi,300,Nearest Neighbors,Score,0.2142857143
my,tfidf,bi,200,Logistic Regression,Precision,0.4908517294
google,justc,uni,all,Logistic Regression,Precision,0.4123677249
my,justc,uni,all,Random Forest,Recall,0.3333333333
google,tfidf,quad,400,Logistic Regression,Recall,0.4444444444
my,tfidf,quad,10,Nearest Neighbors,Precision,0.3492070727
google,tfidf,uni,200,Naive Bayes,Recall,0.0952380952
my,tfidf,tri,400,Nearest Neighbors,Precision,0.4967449592
google,numoc,bi,all,AdaBoost,Precision,0.2267573696
google,justc,uni,all,Random Forest,Precision,0.3654633897
my,justc,uni,all,Linear SVM,Fscore,0.3394984569
my,justc,bi,all,Dummy,Score,0.0317460317
my,tfidf,quad,300,RBF SVM,Score,0.2222222222
my,numoc,uni,all,RBF SVM,Fscore,0.1146825397
google,tfidf,uni,100,Linear SVM,Score,0.4206349206
google,tfidf,uni,300,Decision Tree,Recall,0.4206349206
google,tfidf,bi,10,Logistic Regression,Fscore,0.3713323713
google,tfidf,bi,100,RBF SVM,Fscore,0.3511177595
google,tfidf,quad,300,Dummy,Precision,0.2661249685
google,tfidf,quad,10,Decision Tree,Recall,0.4206349206
google,tfidf,tri,200,Dummy,Fscore,0.3511177595
google,tfidf,quad,100,Dummy,Recall,0.5158730159
