% 1. Title: Playstore Data Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: June, 2016
% 
@RELATION playstore

@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {health_n_fitness,productivity,business,entertainment,lifestyle,media_n_video,education,tools,books_n_reference}

@DATA
0,58,29,240,0,40,58,756,0,26,4,93,15,0,133,0,1217,8,1,0,1,8,0,798,0,0,2056,0,84,86,4,446,560,299,0,322,331,117,361,29,16519,15,2291,0,2,175,46,0,0,53,0,1374,2,0,0,0,0,0,1,0,0,4,594,983,lifestyle
78,25145,49,474,0,151,251,4334,0,24,5,0,0,0,0,0,4275,0,0,0,0,5,527,0,0,0,8736,0,9,408,5,0,424,751,0,0,441,113,0,0,44630,17,13460,0,0,176,126,0,0,4,0,7559,2,0,0,10,0,1,0,0,1,5,3035,2643,health_n_fitness
0,1090,6,196,1,8,8,186,0,112,46,0,0,0,0,45,131,0,1,0,0,50,23,0,0,0,484,0,0,165,1,0,81,118,0,0,218,27,0,0,13,6,200,45,0,155,0,0,0,0,0,120,0,0,0,0,1,0,0,0,0,46,113,92,productivity
34,26673,93,1375,1,259,296,2783,0,368,22,0,70,0,0,3,4895,0,1,0,0,71,1997,0,1,0,10162,0,0,904,6,0,144,1042,0,0,1328,29,0,0,925,5,10375,1,0,824,0,0,0,66,0,5395,0,0,0,0,1,0,0,0,0,11,2487,1156,tools
62,4187,41,151,0,13,14,193,0,34,4,0,20,0,0,0,366,0,1,0,0,8,69,0,0,0,1073,0,4,315,4,0,329,181,0,0,214,60,0,0,3002,9,462,0,0,102,46,0,0,57,0,261,2,0,0,0,0,0,0,0,1,5,142,211,media_n_video
120,17916,24,914,1,205,238,2631,0,352,2,0,150,0,0,0,696,0,0,0,0,29,710,0,0,0,5482,0,1,1019,35,0,255,707,0,0,682,186,0,0,680,36,11925,0,0,597,0,0,0,0,0,8852,0,0,0,8,1,0,0,0,0,3,3189,1985,productivity
0,0,1,84,0,110,35,2608,0,19,9,24,0,0,20,9,1687,0,1,0,1,10,0,2838,0,0,1354,0,20,36,0,191,54,94,0,74,154,47,71,0,297,1,2654,8,0,36,0,0,0,1,18,1545,0,1,0,0,0,0,0,0,0,8,1394,632,tools
0,0,5,197,0,38,37,743,0,101,13,287,35,0,328,2,39,52,0,0,0,3,0,611,0,0,1373,0,0,202,1,131,58,84,0,175,136,10,225,73,844,1,2816,2,0,255,0,0,0,0,0,1588,0,0,0,0,0,0,1,0,0,4,1390,284,productivity
0,1397,22,93,1,10,13,115,0,20,5,0,15,0,0,3,294,0,1,1,0,4,100,0,0,0,344,1,0,91,4,0,63,68,0,0,115,20,0,0,11,5,217,1,0,40,0,0,0,0,0,112,0,0,0,0,1,0,0,0,0,3,75,81,lifestyle
310,18746,35,486,1,111,144,2805,0,32,4,0,0,0,0,0,2703,0,1,0,0,6,55,0,0,0,3001,0,14,531,3,0,438,445,0,0,445,131,0,0,2764,23,3920,0,0,73,126,0,0,1,10,2284,3,0,0,8,1,3,0,0,2,5,1204,1647,tools
94,1901,32,285,1,9,6,99,0,47,2,0,6,0,0,0,483,0,1,0,0,8,87,0,0,0,1219,0,1,450,4,0,559,380,0,0,440,165,0,0,77,12,136,0,0,215,0,0,0,0,16,113,2,0,0,10,1,3,0,0,1,1,237,177,lifestyle
80,16185,33,541,0,114,186,2111,0,144,9,0,60,0,0,3,2040,0,0,0,0,14,699,0,0,0,5403,0,9,583,4,0,404,698,0,0,412,140,0,0,4756,17,6555,1,0,2844,127,0,0,0,0,3500,2,0,0,10,0,1,0,0,1,8,1863,1886,lifestyle
126,36455,24,1116,1,157,259,3817,0,139,13,0,70,0,0,1,4623,0,1,0,0,77,692,0,0,0,6314,0,1,1284,4,0,300,1528,0,0,976,269,0,0,778,9,13231,1,0,1885,0,0,0,2,8,7199,3,0,7,8,7,3,0,21,2,4,3430,2698,tools
0,0,8,208,0,93,78,1011,0,3,2,50,0,0,13,0,55,0,0,0,0,0,0,809,0,0,1769,0,3,257,2,203,101,165,0,126,52,15,206,0,814,2,3533,0,0,387,0,0,0,0,0,1947,0,0,0,0,0,0,0,0,0,1,1318,464,lifestyle
184,31918,71,1580,1,136,137,5384,0,396,27,0,15,0,0,5,5591,0,1,0,0,42,1415,0,0,0,10948,0,9,1719,9,0,775,1567,0,0,1907,330,0,0,14551,27,6347,4,0,2144,126,0,0,1,90,4079,3,1,0,11,1,3,0,0,3,11,3536,2923,media_n_video
0,9585,0,205,0,86,149,1142,0,0,0,0,0,0,0,0,836,0,0,0,0,0,271,0,0,0,1786,0,0,82,0,0,2,54,0,0,101,6,0,0,197,0,4365,0,0,120,1,0,0,0,0,2375,0,0,0,0,0,0,0,0,0,0,853,694,lifestyle
0,53,32,155,0,29,29,738,0,11,3,12,0,0,20,3,243,0,0,0,1,12,0,594,0,0,1709,0,26,295,1,288,317,170,0,19,212,69,171,0,907,2,2658,0,0,283,0,0,0,0,6,1076,2,0,0,0,0,2,0,0,0,0,1577,234,lifestyle
0,21699,1,299,0,101,165,4167,0,4,0,0,0,0,0,0,2146,0,0,0,0,0,34,0,0,0,3550,0,0,247,0,0,5,500,0,0,233,6,0,0,2692,0,13760,0,0,298,0,0,0,41,4,8049,0,0,0,0,0,0,0,0,0,0,2598,1421,lifestyle
4,150,2,11,0,0,0,0,0,0,0,0,2,4,0,1,2,0,0,0,0,2,0,0,0,0,12,1,2,76,0,0,68,8,0,0,14,5,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,tools
12,25059,5,479,0,192,297,3853,0,197,44,0,0,0,0,0,3739,0,1,0,0,94,22,0,0,0,7540,0,0,252,0,0,52,629,0,0,164,73,0,0,13121,1,12800,0,0,147,0,0,0,1,0,7074,0,0,0,0,0,1,0,0,0,0,13372,2460,tools
0,6314,0,322,1,120,72,795,0,21,2,0,0,0,0,1,115,0,0,0,0,1,0,0,0,0,2331,0,0,252,1,0,44,457,0,0,115,18,0,0,171,5,3680,0,0,191,0,0,0,0,0,3133,0,0,0,0,1,0,0,0,0,0,148,708,productivity
186,1514,23,255,1,6,3,23,0,65,10,0,30,0,0,5,134,0,1,0,0,11,48,0,0,0,708,0,9,434,4,0,689,414,0,0,490,262,0,0,614,25,41,4,0,28,126,0,0,8,0,29,2,0,0,8,1,1,0,0,1,9,23,50,productivity
0,18,3,9,0,0,0,0,1,4,1,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,13,0,0,10,0,0,33,5,0,0,9,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,3,tools
0,0,19,271,0,60,60,1004,0,83,2,203,10,0,237,0,417,30,0,0,1,8,0,1046,0,0,1500,0,56,282,3,446,507,334,0,200,240,79,691,19,530,5,2009,0,2,629,0,0,0,13,16,1093,2,0,0,0,0,2,1,0,0,1,2147,558,tools
0,2751,0,63,0,23,37,299,0,0,0,0,0,0,0,0,379,0,0,0,0,0,2266,0,0,0,603,0,0,157,0,0,3,103,0,0,21,50,0,0,65,0,1103,0,0,99,1,0,0,6,0,622,0,0,0,0,0,0,0,0,0,0,304,279,tools
0,0,5,116,0,16,28,1053,0,14,1,117,0,0,42,1,389,5,1,0,0,2,0,419,0,0,705,0,78,25,1,130,55,93,0,24,98,5,103,0,314,1,3099,0,0,121,0,0,0,1,0,1696,0,0,0,0,0,0,0,0,0,0,457,251,tools
184,49539,39,1287,1,319,340,8350,0,168,37,0,0,0,0,31,7370,0,1,0,0,37,471,0,0,0,10745,0,9,1798,5,0,720,779,0,0,1491,321,0,0,22138,26,11402,28,0,1333,126,0,0,92,56,6948,3,1,0,10,1,3,0,0,2,33,4287,4380,tools
0,5047,3,244,0,104,103,660,0,11,2,0,0,0,0,1,250,0,0,0,0,1,0,0,0,0,1909,0,0,196,1,0,7,133,0,0,49,1,0,0,97,0,2971,0,0,194,1,0,0,3,0,2364,0,0,0,0,0,0,0,0,0,0,108,706,productivity
58,23694,19,907,0,258,281,3466,0,9,1,0,0,0,0,0,2945,0,0,0,0,4,363,0,0,0,4765,0,1,835,3,0,255,340,0,0,766,120,0,0,627,4,7190,0,0,175,1,0,0,1,18,4195,3,1,0,10,0,3,0,0,3,1,2313,2257,education
0,1693,15,350,1,14,20,149,0,340,9,0,16,0,0,5,175,0,1,0,0,10,487,0,0,0,902,0,0,234,1,0,60,301,0,0,373,97,0,0,46,5,502,4,0,1100,0,0,0,0,0,263,0,0,0,0,1,0,0,0,0,4,150,95,productivity
184,34407,39,1140,1,209,203,5372,0,355,11,0,15,0,0,5,4042,0,0,0,0,10,2486,0,0,0,10489,0,9,1952,4,0,710,1009,0,0,1169,258,0,0,9849,26,10159,4,0,1224,126,0,0,0,30,8131,3,0,0,10,1,3,0,0,2,11,1772,2768,tools
0,422,0,32,0,2,2,40,0,24,2,0,20,0,0,0,54,0,0,0,0,0,92,0,0,0,94,0,0,20,0,0,0,46,0,0,32,6,0,0,24,0,98,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,6,tools
0,0,22,724,0,55,77,963,0,11,2,58,0,0,51,1,1445,0,1,0,1,8,0,1220,0,0,2967,0,76,159,3,1071,508,460,0,134,726,142,580,0,229,5,2172,0,0,197,0,0,0,1,6,1148,2,0,0,0,0,2,0,0,0,1,804,433,books_n_reference
142,36442,28,647,1,157,171,6117,0,75,6,0,0,0,0,1,4628,0,0,2,0,6,383,0,0,0,8071,0,9,1714,4,0,715,581,0,0,908,164,0,0,10497,26,10819,0,0,441,126,0,0,4,42,8619,3,0,0,8,1,3,0,0,1,5,1620,2725,tools
0,25697,61,722,1,179,329,3708,0,121,34,0,20,0,0,31,2713,0,1,0,0,35,1041,0,0,0,7675,0,0,545,2,0,119,385,0,0,503,36,0,0,479,5,11246,24,0,482,44,0,0,1,0,6442,0,0,0,0,1,0,0,0,0,26,2204,7187,tools
150,1332,38,184,1,3,1,0,0,23,1,0,0,0,0,0,344,0,0,0,0,5,13,0,0,0,244,0,1,342,11,0,543,313,0,0,391,227,0,0,87,12,37,0,0,11,0,0,0,0,2,31,2,0,0,8,1,2,0,0,1,1,138,53,media_n_video
0,2,32,324,0,54,102,785,0,16,1,70,0,0,49,0,701,0,0,0,1,7,0,858,0,0,1557,0,80,88,5,502,555,258,0,333,290,75,339,0,905,17,3757,0,0,509,46,0,0,0,0,1808,2,0,0,0,0,0,0,0,0,5,826,164,tools
0,4063,0,247,0,35,7,643,0,18,0,0,0,0,0,0,1120,0,0,0,0,0,90,0,0,0,1477,1,0,347,0,0,1,12,0,0,286,0,0,0,4298,0,363,0,0,24,0,0,0,1,36,279,0,0,0,0,0,0,0,0,1,0,704,252,productivity
0,20,45,285,0,53,98,811,0,23,3,88,0,0,84,2,1004,4,0,0,1,9,0,905,0,0,2096,0,80,839,2,566,576,355,0,442,273,111,8753,0,5850,17,2643,1,2,238,46,0,0,0,0,1446,2,0,0,0,0,0,0,0,0,6,609,838,entertainment
0,19788,18,339,0,138,226,3149,0,4,2,0,0,0,0,1,2850,0,0,0,0,1,0,0,0,0,5427,1,0,219,1,0,36,508,0,0,95,2,0,0,612,0,10996,0,0,391,0,0,0,0,0,6238,0,0,0,0,0,0,0,0,0,0,2487,2341,tools
